Nombre, este, oeste
parque mi esperanza,-14.78264499,-71.12280068
quillca,-14.71801628,-71.08107402
anexo Santo Domingo,-14.6947909,-71.21654827
"Cecabi ""Señal De Dios Fortaleza Grande"" AEMINPU SORACCOTA,-14.84075898,-71.01562289"
centro Pallpata,-14.891125,-71.209898
campo ferial Camilo Roman Caballero,-14.877299,-71.213853
grifo Carlita,-14.896993,-71.205851
Boston,-14.865423,-71.085576
torca,-14.817384,-71.224387
Pulpera,-14.874255,-71.260945
IE independencia americana,-14.888676,-71.20841
Accocunca123459789,-14.777736,-71.251814
Macari,-14.77069,-70.902816
IE N 56243,-14.96431219,-71.02926434
centro poblado Jayuni,-14.96733477,-71.04175652
sector Kasillo Mayo,-14.94444794,-71.07067724
Sutunta trout sac,-14.92129599,-71.049977
radio san Luis,-14.92050449,-71.04944404
colegio Hector Tejada,-14.8875946,-71.21286815
Taller sol del pacifico,-14.80238984,-71.51665716
Taller servosa,-14.80503184,-71.50880308
Grifo la Inmaculada,-14.79683297,-71.53382383
Espinar,-14.79031229,-71.41164825
Toquepala,-14.8702601,-71.71737295
qquero,-14.73530893,-71.62891552
q'ero puente,-14.75767803,-71.55247241
IE Tacrara,-14.77106374,-71.55013076
Yanacocha,-14.83315317,-71.58957949
Templo Apachaqo,-14.86978256,-71.53520536
Escuela Checcani,-14.86659931,-71.59329758
Machupuente,-14.87453213,-71.51876905
Iglesia adventista del septimo dia,-14.79591808,-71.53644835
santa Ana,-14.65391231,-71.62158639
Huacallullu,-14.74802828,-71.7650352
Chonta Wasi,-14.59721625,-71.9224929
Finca la Cabaña,-14.55612647,-71.87775721
Captacion balsa flotante,-14.62147657,-71.83899687
Local C.C. Huayllahuaylla,-14.61543259,-71.78272613
Hacienda Ccori,-14.75058144,-71.9397698
Calanta,-14.57335584,-71.80936978
Laguna huicuna Jatucocha,-14.66582603,-71.81978531
Laguna Tacracocha,-14.66608639,-71.83213545
Lagunas Calvariococha,-14.68017444,-71.84188399
Cangallo,-14.68124475,-71.81395413
Orccococha,-14.65901866,-71.84601932
Laguna Maymillacocha,-14.68660941,-71.80881104
Laguna Parihuana,-14.69033524,-71.78653312
Lagunas Marcanicocha,-14.65638013,-71.80239431
Laguna Accacocha,-14.61113694,-71.79752476
Laguna Pumacocha,-14.62967243,-71.80533663
Laguna Quentacocha,-14.605529,-71.79943017
Laguna Vilaccro,-14.64850822,-71.77836458
Lagunas Huayata,-14.6024199,-71.777088
Laguna Levecocha,-14.6165248,-71.76204603
Huaylla Apacheta,-14.57672689,-71.72864406
Abra Apachetas,-14.58724072,-71.71334038
Lagunas Huaylla Apacheta,-14.59059453,-71.70635294
Laguna Huarmicocha,-14.58606824,-71.72151118
Laguna Sura Sura,-14.59914522,-71.71688491
Lagunas Lequesura,-14.60180946,-71.69777539
Cataratas de Huaylla Apacheta,-14.59794649,-71.69339141
Lagunas Ccenquellosa,-14.6097245,-71.70220757
Lagunas Chungara,-14.61858179,-71.71634466
Laguna Morocacce,-14.6196721,-71.68506095
laguna Taccracocha,-14.63723825,-71.68554833
Laguna Parihuanacocha,-14.63912447,-71.67540487
Laguna Yanacocha,-14.63452679,-71.6851828
Laguna Parihuana,-14.62400473,-71.70099818
Salon comunal Pumahuasi,-14.70736,-71.580959
Salon comunal Collana,-14.511073,-71.863563
Casa Jose Donato Pineda Consa,-14.535032,-71.881418
Azulkancha,-14.386019,-71.976594
salon comunal Ushuaria,-14.29772,-72.03738
mina justo Juez,-14.291149,-72.051382
Estadio de Huayllani,-14.353547,-72.053277
Centro arqueologico Wamanmarka,-14.403121,-72.074715
Huano huanu,-14.34176,-72.073013
Paqoy warmi,-14.401247,-72.043313
Armiri,-14.237798,-72.047065
restos arqueologicos Marcamarca,-14.285385,-72.104396
ubicacion auchanta usiray,-14.322128,-71.998713
Tambo Oquebamba,-14.6413,-71.278539
anexo Santo Domingo,-14.69541131,-71.21670934
Laramani,-14.60942082,-71.19038039
Ccasillo fatanga,-14.55668016,-71.21838104
comunidad Huarcachapi,-14.50588793,-71.24137607
propiedad privada fundo mirador,-14.61276065,-71.31692312
fundo ganadero campo grande,-14.64099097,-71.22619206
qocha Asencion Huaranca - carretera - ana,-14.610887,-71.215249
laguna Laramani,-14.61579,-71.20227
laguna Fredy - dificil,-14.62186,-71.206515
ñahuiqocha - por conversar,-14.617732,-71.18783
privado,-14.620867,-71.188282
privado,-14.622362,-71.191705
warmahuata - por conversar - ana,-14.604437,-71.206934
